순위,관광지ID,관광지명,분류,주소,행정동
67,b85bb5f2e3195bff54c83d3df6d54dd4,살곶이물놀이장,문화관광,서울 성동구 사근동 102-16,사근동
68,3f7027560ecb686ada1562a7eb60a69e,훅클라이밍/왕십리점,레저스포츠,서울 성동구 행당동 140,행당1동
69,9cfb6ffd5a71e1bd6827c4a498d1dd21,클라이밍파크/성수점,레저스포츠,서울 성동구 성수동2가 273-34,성수2가1동
70,2222036ddb89990e59220a95eea99065,XYZ SEOUL,문화관광,서울 성동구 성수동2가 273-26,성수2가1동
71,82d125101dbc749f69d75713ae7d0727,서울새활용플라자,문화관광,서울 성동구 용답동 250-14,용답동
73,e9632ac7f02a2af330b40a37a62b9101,대현산배수지공원,문화관광,서울 성동구 금호동1가 1-72,금호1가동
74,fed34c4df3aa13771b654cd098333afa,마장동먹자골목,쇼핑,서울 성동구 홍익동 590,마장동
77,17fc7347ebcbdadf77f5aac2e4038ad9,응봉산,자연관광,서울 성동구 응봉동,응봉동
78,240f4e49485a961698ecbf95ee6f2f4e,헤르만아트홀,문화관광,서울 성동구 성수동1가 13-163,성수1가1동
79,b3c3b9a56339baec4f9723f29e7ea9c8,성수낙낙,쇼핑,서울 성동구 성수동2가 280,성수2가1동
81,ee346de6f4021fd5e9f4e1a3c8e63f29,성수근린공원,문화관광,서울 성동구 성수동2가 302-25,성수2가1동
83,4f4ca83a141bc3116b7754b926085173,서울숲/곤충식물원,문화관광,서울 성동구 성수동1가 685-715,성수1가1동
84,a6e5f4ec67fb1dc9bfe72aeca70aaef2,에스팩토리/D동,문화관광,서울 성동구 성수동2가 273-13,성수2가1동
85,c63dbe0e94591fc9b909c7a6b0ea593c,스파크플러스/성수2호점,문화관광,서울 성동구 성수동1가 656-766,성수1가1동
87,199037690566bbe06679fed1fd142a72,디뮤지엄/휴업중,문화관광,서울 성동구 성수동1가 685-700,성수1가1동
88,bd6e2f2b83d6c411fe889c9875a31e44,거꾸로하우스/성수,문화관광,서울 성동구 성수동1가 683,성수1가1동
89,c145ef692c1939c7f255651da990340a,이네오스 그레나디어 서울,문화관광,서울 성동구 성수동2가 322-14,성수2가1동
90,15119ba35d594054181c358d9b718495,대현산 장미원,문화관광,서울 성동구 금호동1가 산 37-1,금호1가동
91,2e2fe25b0c167590963927f039167877,응봉산개나리축제,문화관광,서울 성동구 응봉동,응봉동
92,d5164f95063a2876fd59a07686446653,캔디성수,문화관광,서울 성동구 성수동2가 233-3,성수2가1동
93,35e586f9fe984fa098118374888956e7,성수동수제화거리,쇼핑,서울 성동구 성수동2가 289-30,성수2가1동
94,39ea931ea5d9f21e9b95f1659cc7ecef,미트대명사,쇼핑,서울 성동구 마장동 463-7,마장동
95,c02281e3dfd617b93a4bbe4c214d50c4,용답시장,쇼핑,서울 성동구 용답동 13-22,용답동
98,af26669e089e58d3db3c9c83cbe0946a,풋볼웨이아카데미,레저스포츠,서울 성동구 성수동1가 656-1244,성수1가1동
100,c567ebe3d36413923889543e80757c73,훅클라이밍,레저스포츠,서울 성동구 성수동2가 289-211,성수2가1동
